Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Terrebonne,élection OR campagne,1,TVA Nouvelles,Terrebonne : Les conventions collectives au cœur de la campagne électorale municipale,2021-09-01,17,https://www.tvanouvelles.ca/2021/09/01/terrebonne--les-conventions-collectives-au-cur-de-la-campagne-electorale-municipale,2021-09-18 13:25:10,mixte
Terrebonne,élection OR campagne,2,La Presse,Terrebonne | L'avenir d'un ancien champ de tir devient un enjeu électoral,2021-08-26,23,https://www.lapresse.ca/elections-federales/2021-08-26/terrebonne/l-avenir-d-un-ancien-champ-de-tir-devient-un-enjeu-electoral.php,2021-09-18 13:25:11,mixte
Terrebonne,élection OR campagne,3,TVA Nouvelles,Le bras droit du maire de Terrebonne accusé de fraude électorale,2021-09-07,11,https://www.tvanouvelles.ca/2021/09/07/le-bras-droit-du-maire-de-terrebonne-accuse-de-fraude-electorale,2021-09-18 13:25:11,mixte
Terrebonne,élection OR campagne,4,ICI.Radio-Canada.ca,Le vote par anticipation se déroule rondement à Québec malgré la COVID-19,2021-09-11,7,https://ici.radio-canada.ca/nouvelle/1823179/vote-anticipation-quebec-elections-federales,2021-09-18 13:25:11,mixte
Terrebonne,élection OR campagne,5,Hebdo Rive Nord,Le Cégep régional de Lanaudière organise une deuxième campagne de vaccination contre la COVID-19,2021-09-07,11,https://www.hebdorivenord.com/article/2021/09/07/le-cegep-regional-de-lanaudiere-organise-une-deuxieme-campagne-de-vaccination-contre-la-covid-19,2021-09-18 13:25:11,mixte
Terrebonne,élection OR campagne,6,L'Éveil et La Concorde,La santé comme priorité pour les Conservateurs de la région - Journal L'Éveil de Saint-Eustache,2021-08-24,25,https://www.leveil.com/actualites/la-sante-comme-priorite-pour-les-conservateurs-de-la-region,2021-09-18 13:25:12,mixte
Terrebonne,élection OR campagne,7,Le Reflet du Lac,L'immobilier sur la Rive-Nord,2021-08-25,24,https://www.lerefletdulac.com/2021/08/25/limmobilier-sur-la-rive-nord/,2021-09-18 13:25:12,mixte
Terrebonne,élection OR campagne,8,Le Devoir,"Pierre Fitzgibbon à nouveau ministre, et bientôt candidat",2021-09-01,17,https://www.ledevoir.com/politique/quebec/628995/francois-legault-confirme-le-retour-de-pierre-fitzgibbon,2021-09-18 13:25:13,mixte
Terrebonne,élection OR campagne,9,Le Journal de Montréal,Élections municipales: l'absence de piscine municipale intérieure à Trois-Rivières fait jaser,2021-09-06,12,https://www.journaldemontreal.com/2021/09/06/elections-municipales-labsence-de-piscine-municipale-interieure-a-trois-rivieres-fait-jaser,2021-09-18 13:25:13,mixte
Terrebonne,élection OR campagne,10,Radio-Canada.ca,Mathieu Traversy officiellement candidat à la mairie de Terrebonne,2021-06-07,103,https://ici.radio-canada.ca/nouvelle/1799577/elections-municipales-lanaudiere-ex-depute-pequiste,2021-09-18 13:25:13,mixte
Terrebonne,élection OR campagne,11,L'Action d'Autray,Une invitation à se faire vacciner pour la rentrée scolaire,2021-08-21,28,https://www.lactiondautray.com/article/2021/08/21/une-invitation-a-se-faire-vacciner-pour-la-rentree-scolaire,2021-09-18 13:25:13,mixte
Terrebonne,élection OR campagne,12,Le Journal de Montréal,Fédérales 2021: tout le Québec en élections | JDM,2021-08-15,34,https://www.journaldemontreal.com/2021/08/15/federales-2021-tout-le-quebec-en-elections,2021-09-18 13:25:13,mixte
Terrebonne,élection OR campagne,13,Le Journal de Montréal,L'ancien député Mathieu Traversy en tête des intentions de vote à Terrebonne,2021-06-02,108,https://www.journaldemontreal.com/2021/06/02/lancien-depute-mathieu-traversy-en-tete-des-intentions-de-vote-a-terrebonne,2021-09-18 13:25:14,mixte
Terrebonne,élection OR campagne,14,ICI.Radio-Canada.ca,Le député de Terrebonne Michel Boudrias mis à l'écart par le Bloc québécois,2021-08-04,45,https://ici.radio-canada.ca/nouvelle/1814257/bloc-quebecois-bq-investitures-candidature-nathalie-sinclair-desgagnes,2021-09-18 13:25:14,mixte
Terrebonne,élection OR campagne,15,Radio-Canada.ca,L'investiture du député bloquiste de Terrebonne Michel Boudrias contestée,2021-07-28,52,https://ici.radio-canada.ca/nouvelle/1812301/nathalie-sinclair-gagne-candidature-bq,2021-09-18 13:25:14,mixte
Terrebonne,élection OR campagne,16,TVA Nouvelles,"«Là, on a un bilan», dit Yves Perron, président de la campagne du Bloc",2021-08-09,40,https://www.tvanouvelles.ca/2021/08/09/la-on-a-un-bilan-dit-yves-perron-president-de-la-campagne-du-bloc,2021-09-18 13:25:14,mixte
Terrebonne,élection OR campagne,17,LeLézard.com,Élections fédérales 2021 - La mobilité : Le chantier prioritaire pour les municipalités de la Couronne Nord,2021-08-31,18,https://www.lelezard.com/communique-19976251.html,2021-09-18 13:25:14,mixte
Terrebonne,élection OR campagne,18,Plume Libre Montcalm,Plume Libre - Campagne de vaccination contre la COVID-19,2021-06-09,101,https://plumelibre.ca/index.php/toutes-les-municipalites/campagne-de-vaccination-contre-la-covid-19,2021-09-18 13:25:15,mixte
Terrebonne,élection OR campagne,19,Le Journal de Montréal,Plainte au DGEQ contre le chef de cabinet à Terrebonne,2021-03-09,193,https://www.journaldemontreal.com/2021/03/09/plainte-au-dgeq-contre-le-chef-de-cabinet-a-terrebonne-1,2021-09-18 13:25:15,mixte
