Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Matane,élection OR campagne,1,Mon Matane,Éphémérides du 2 août : 6 000 personnes viennent entendre le premier ministre du Québec Louis-Alexandre Taschereau à Matane en 1931,2021-08-02,1,https://monmatane.com/ephemerides-du-2-aout-6-000-personnes-viennent-entendre-le-premier-ministre-du-quebec-louis-alexandre-taschereau-a-matane-en-1931/,2021-08-03 09:26:20,mixte
Matane,élection OR campagne,2,Mon Matane,Premier arrêt de l'autocar VACC-I-EXPRESS à Matane près du site d'Éole en musique,2021-07-15,19,https://monmatane.com/premier-arret-de-lautocar-vacc-i-express-a-matane-pres-du-site-deole-en-musique/,2021-08-03 09:26:20,mixte
Matane,élection OR campagne,3,Mon Matane,Éric Barnabé : à nouveau candidat pour le Parti populaire du Canada dans Avignon - La Mitis - Matane - Matapédia,2021-07-29,5,https://monmatane.com/eric-barnabe-a-nouveau-candidat-pour-le-parti-populaire-du-canada-dans-avignon-la-mitis-matane-matapedia/,2021-08-03 09:26:21,mixte
Matane,élection OR campagne,4,Mon Matane,Le Chari-Thé pour venir en aide à La Gigogne de Matane,2021-07-27,7,https://monmatane.com/le-chari-the-pour-venir-en-aide-a-la-gigogne-de-matane/,2021-08-03 09:26:21,mixte
Matane,élection OR campagne,5,Mon Matane,Éphémérides du 7 juillet : parti de Matane un mois plus tôt Le Jehan arrive à La Rochelle en 1616,2021-07-07,27,https://monmatane.com/ephemerides-du-7-juillet-parti-de-matane-un-mois-plus-tot-le-jehan-arrive-a-la-rochelle-en-1616/,2021-08-03 09:26:21,mixte
Matane,élection OR campagne,6,ICI.Radio-Canada.ca,Attention aux bélugas quand vous naviguez sur le Saint-Laurent,2021-07-15,19,https://ici.radio-canada.ca/nouvelle/1809279/protection-belugas-mammiferes-marins-plaisanciers,2021-08-03 09:26:21,mixte
Matane,élection OR campagne,7,Mon Matane,Éphémérides du 21 juillet : Gaétan Bernier raconte à nouveau Saint-Nil en 2003 dans un deuxième livre,2021-07-21,13,https://monmatane.com/ephemerides-du-21-juillet-gaetan-bernier-raconte-a-nouveau-saint-nil-en-2003-dans-un-deuxieme-livre/,2021-08-03 09:26:21,mixte
Matane,élection OR campagne,8,Mon Matane,"Éphémérides du 16 juillet : le pionnier de l'histoire de Matane, Mgr Antoine Gagnon, décède en 1983",2021-07-16,18,https://monmatane.com/ephemerides-du-16-juillet-le-pionnier-de-lhistoire-de-matane-mgr-antoine-gagnon-decede-en-1983/,2021-08-03 09:26:22,mixte
Matane,élection OR campagne,9,Mon Matane,Bilan de la campagne de vaccination au Bas-Saint-Laurent,2021-07-22,12,https://monmatane.com/bilan-de-la-campagne-de-vaccination-au-bas-saint-laurent/,2021-08-03 09:26:22,mixte
Matane,élection OR campagne,10,Mon Matane,Clinique sans rendez-vous au Colisée de Matane et passage de l'autocar Vacc-I-Express à Sainte-Félicité,2021-07-21,13,https://monmatane.com/clinique-sans-rendez-vous-au-colisee-de-matane-et-passage-de-lautocar-vacc-i-express-a-sainte-felicite/,2021-08-03 09:26:22,mixte
Matane,élection OR campagne,11,Mon Matane,Éphémérides du 9 juillet : la tordeuse du bourgeon de l'épinette fait des ravages en 1953,2021-07-09,25,https://monmatane.com/ephemerides-du-9-juillet-la-tordeuse-du-bourgeon-de-lepinette-fait-des-ravages-en-1953/,2021-08-03 09:26:23,mixte
Matane,élection OR campagne,12,Mon Matane,Éphémérides du 8 juillet : le feu rase trois immeubles sur la rue Saint-Pierre en 2005,2021-07-08,26,https://monmatane.com/ephemerides-du-8-juillet-le-feu-rase-trois-immeubles-sur-la-rue-saint-pierre-en-2005/,2021-08-03 09:26:23,mixte
Matane,élection OR campagne,13,ICI.Radio-Canada.ca,Le chef du Parti québécois en tournée dans l'Est-du-Québec,2021-07-28,6,https://ici.radio-canada.ca/nouvelle/1812583/tournee-paul-st-pierre-plamondon-est-quebec-gaspesie-bas-st-laurent-iles-madeleine,2021-08-03 09:26:23,mixte
Matane,élection OR campagne,14,Mon Matane,Blitz de vaccination sans rendez-vous pour le Pfizer-BioNtech aujourd'hui à Matane,2021-07-14,20,https://monmatane.com/blitz-de-vaccination-sans-rendez-vous-pour-le-pfizer-biontech-aujourdhui-a-matane/,2021-08-03 09:26:23,mixte
Matane,élection OR campagne,15,Mon Matane,Marie-Sophie L'Heureux pédale de Montréal jusqu'à Gaspé pour contrer la violence conjugale,2021-07-31,3,https://monmatane.com/marie-sophie-lheureux-pedale-de-montreal-jusqua-gaspe-pour-contrer-la-violence-conjugale/,2021-08-03 09:26:23,mixte
Matane,élection OR campagne,16,ICI.Radio-Canada.ca,Campagne à la mairie de Sherbrooke : le jeu d'équipe d'Évelyne Beaudin,2021-07-30,4,https://ici.radio-canada.ca/nouvelle/1810703/evelyne-beaudin-course-mairie-sherbrooke-rejean-blais,2021-08-03 09:26:24,mixte
Matane,élection OR campagne,17,ICI.Radio-Canada.ca,Cedrico réduit à nouveau ses activités par manque de main-d'œuvre,2021-07-14,20,https://ici.radio-canada.ca/nouvelle/1808954/cedrico-bois-oeuvre-emploi-travail-causapscal-price-job-recrutement,2021-08-03 09:26:24,mixte
Matane,élection OR campagne,18,L’Avantage gaspésien,Une nouvelle clinique vétérinaire pourrait voir le jour en Haute-Gaspésie dès 2022,2021-07-20,14,https://www.lavantagegaspesien.com/article/2021/07/20/une-nouvelle-clinique-veterinaire-pourrait-voir-le-jour-en-haute-gaspesie-des-2022,2021-08-03 09:26:24,mixte
Matane,élection OR campagne,19,Mon Matane,Franc succès pour l'opération nettoyage de Saint-Ulric,2021-07-06,28,https://monmatane.com/franc-succes-pour-loperation-nettoyage-de-saint-ulric/,2021-08-03 09:26:24,mixte
Matane,élection OR campagne,20,Mon Matane,Éphémérides 10 mars : André Boisclair en campagne électorale dans Matane,2021-03-10,146,https://monmatane.com/ephemerides-10-mars-andre-boisclair-en-campagne-electorale-dans-matane/,2021-08-03 09:26:24,mixte
Matane,élection OR campagne,21,ICI.Radio-Canada.ca,Le marché public de Matane fait relâche pour l'été,2021-05-28,67,https://ici.radio-canada.ca/nouvelle/1796973/marche-public-matane-relache-ete-2021,2021-08-03 09:26:24,mixte
Matane,élection OR campagne,22,Le Soleil - Groupe Capitales Médias,La pire route du Québec serait à Matane,2021-05-13,82,https://www.lesoleil.com/actualite/en-region/la-pire-route-du-quebec-serait-a-matane-7df7f793443b0c8310f879f5c1fa5415,2021-08-03 09:26:25,mixte
Matane,élection OR campagne,23,Cégep de Matane,Nouvelles | Des finissants en Photographie du Cégep de Matane lancent une campagne de sociofinancement,2021-03-18,138,https://www.cegep-matane.qc.ca/nouvelles/2021/des-finissants-en-photographie-du-cegep-de-matane-lancent-une-campagne-inedite-de-sociofinancement/,2021-08-03 09:26:25,mixte
Matane,élection OR campagne,24,Le Soleil - Groupe Capitales Médias,Corps repêché au port de Matane | L'Est du Québec | Actualités,2021-05-22,73,https://www.lesoleil.com/actualite/en-region/corps-repeche-au-port-de-matane-feefd8ab68130d1934054d80cc3603a9,2021-08-03 09:26:25,mixte
Matane,élection OR campagne,25,L’Avantage gaspésien,Chefferie du PQ: Sylvain Gaudreault fait campagne à Matane,2020-09-14,323,https://www.lavantagegaspesien.com/article/2020/09/14/chefferie-du-pq-sylvain-gaudreault-fait-campagne-a-matane,2021-08-03 09:26:25,mixte
Matane,député,1,Mon Matane,"Éphémérides du 29 juillet : le député de Matane, Philippe Castonguay, meurt en fonction en 1963",2021-07-29,5,https://monmatane.com/ephemerides-du-29-juillet-le-depute-de-matane-philippe-castonguay-meurt-en-fonction-en-1963/,2021-08-03 09:27:02,mixte
Matane,député,2,Le Journal de Québec,Est-du-Québec: des dépenses élevées pour le député Maxime Blanchette-Joncas,2021-07-21,13,https://www.journaldequebec.com/2021/07/21/est-du-quebec-des-depenses-elevees-pour-le-depute-maxime-blanchette-joncas-1,2021-08-03 09:27:02,mixte
Matane,député,3,Le Journal de Montréal,Pascal Bérubé déplore la fermeture des soins intensifs de Matane,2021-07-11,23,https://www.journaldemontreal.com/2021/07/11/pascal-berube-deplore-la-fermeture-des-soins-intensifs-de-matane-1,2021-08-03 09:27:02,mixte
Matane,député,4,L’Avantage gaspésien,Le ministre de la Famille visite les installations du nouveau CPE à Matane,2021-07-13,21,https://www.lavantagegaspesien.com/article/2021/07/13/le-ministre-de-la-famille-visite-les-installations-du-nouveau-cpe-a-matane,2021-08-03 09:27:02,mixte
Matane,député,5,Info Dimanche,"Relance des centres-villes : la CAQ doit élargir son programme, selon Pascal Bérubé | infodimanche.com",2021-07-29,5,https://www.infodimanche.com/actualites/actualite/432955/relance-des-centres-villes-la-caq-doit-elargir-son-programme-selon-pascal-berube,2021-08-03 09:27:03,mixte
Matane,député,6,Mon Matane,Éphémérides du 23 juillet : bénédiction du deuxième hôpital de Matane en 1950,2021-07-23,11,https://monmatane.com/ephemerides-du-23-juillet-benediction-du-deuxieme-hopital-de-matane-en-1950/,2021-08-03 09:27:03,mixte
Matane,député,7,ICI.Radio-Canada.ca,Plus de sept millions de dollars pour l'aéroport de Mont-Joli,2021-07-23,11,https://ici.radio-canada.ca/nouvelle/1811339/sept-millions-dollars-aeroport-mont-joli-federal-subvention,2021-08-03 09:27:03,mixte
Matane,député,8,Le Journal de Québec,Énergie éolienne: de l'air pour Marmen Énergie?,2021-07-18,16,https://www.journaldequebec.com/2021/07/18/energie-eolienne-de-lair-pour-marmen-energie,2021-08-03 09:27:03,mixte
Matane,député,9,Mon Matane,Éphémérides du 25 juillet : décès du docteur Joseph-Arthur Bergeron en 1937,2021-07-25,9,https://monmatane.com/ephemerides-du-25-juillet-deces-du-docteur-joseph-arthur-bergeron-en-1937/,2021-08-03 09:27:03,mixte
Matane,député,10,Mon Matane,"Aprés Mont-Joli et Matane, le ministre de la Famille visitera Amqui aujourd'hui",2021-07-15,19,https://monmatane.com/apres-mont-joli-et-matane-le-ministre-de-la-famille-visitera-amqui-aujourdhui/,2021-08-03 09:27:04,mixte
Matane,député,11,Mon Matane,L'Équipe Rénovation s'impose avec deux victoires face à Trois-Pistoles dans le midget,2021-07-12,22,https://monmatane.com/lequipe-renovation-simpose-avec-deux-victoires-face-a-trois-pistoles-dans-le-midget/,2021-08-03 09:27:04,mixte
Matane,député,12,ICI.Radio-Canada.ca,250 000 $ pour développer le site de la Chute à Philomène dans La Matapédia,2021-07-08,26,https://ici.radio-canada.ca/nouvelle/1807693/chute-philomene-saint-alexandre-lacs-250-mille-dollars,2021-08-03 09:27:04,mixte
Matane,député,13,L'Avantage Rimouski,"Dans La Mitis, le député Pascal Bérubé se réjouit de son bilan",2021-06-18,46,https://www.lavantage.qc.ca/article/2021/06/18/dans-la-mitis-le-depute-pascal-berube-se-rejouit-de-son-bilan,2021-08-03 09:27:05,mixte
Matane,député,14,ICI.Radio-Canada.ca,Aide financière de Québec : les centres-villes de l'Est oubliés?,2021-07-09,25,https://ici.radio-canada.ca/nouvelle/1807883/rimouski-aide-financiere-quebec-gouvernement-covid-19-centres-villes-relance-est,2021-08-03 09:27:05,mixte
Matane,député,15,L’Avantage gaspésien,La doyenne de La Matanie s'éteint à 109 ans,2021-07-28,6,https://www.lavantagegaspesien.com/article/2021/07/28/la-doyenne-de-la-matanie-s-eteint-a-109-ans,2021-08-03 09:27:05,mixte
Matane,député,16,La Presse,Parti québécois | Pascal Bérubé quittera son poste de chef parlementaire,2021-06-30,34,https://www.lapresse.ca/actualites/politique/2021-06-30/parti-quebecois/pascal-berube-quittera-son-poste-de-chef-parlementaire.php,2021-08-03 09:27:05,mixte
Matane,député,17,Mon Matane,"Pénurie de main-d'oeuvre chez Cédrico, Pascal Bérubé et Kristina Michaud veulent faire partie de la solution",2021-07-15,19,https://monmatane.com/penurie-de-main-doeuvre-chez-cedrico-pascal-berube-et-kristina-michaud-veulent-faire-partie-de-la-solution/,2021-08-03 09:27:05,mixte
Matane,député,18,L’Avantage gaspésien,Deux mamans organisent un bal de finissants pour les élèves matanais,2021-07-04,30,https://www.lavantagegaspesien.com/article/2021/07/04/deux-mamans-organisent-un-bal-de-finissants-pour-les-eleves-matanais,2021-08-03 09:27:05,mixte
