Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Alma ,accident,1,ICI.Radio-Canada.ca,Des blessures sérieuses pour une conductrice happée par une camionnette sur la 169,2021-07-09,6,https://ici.radio-canada.ca/nouvelle/1807729/accident-route-169-chambord,2021-07-15 12:19:14,local
Alma ,accident,2,Le Quotidien - Groupe Capitales Médias,Accident de moto mortel à Saint-Lambert-de-Lauzon,2021-06-27,18,https://www.lequotidien.com/actualites/accident-de-moto-mortel-a-saint-lambert-de-lauzon-80929dcc7e0a0115b9a1749cda231f87,2021-07-15 12:19:14,local
Alma ,accident,3,Le Quotidien - Groupe Capitales Médias,Sortie de route sur la 169 à Alma | Justice et faits divers | Actualités,2021-05-24,52,https://www.lequotidien.com/actualites/justice-et-faits-divers/sortie-de-route-sur-la-169-a-alma-aed1cf2d645bd679b3264e74d266a3b8,2021-07-15 12:19:14,local
Alma ,accident,4,Le Quotidien - Groupe Capitales Médias,Une conductrice subit des blessures graves après une collision à Chambord,2021-07-09,6,https://www.lequotidien.com/actualites/justice-et-faits-divers/une-conductrice-subit-des-blessures-graves-apres-une-collision-a-chambord-6f385d38d6b8c5ea922e302d10085f3f,2021-07-15 12:19:15,local
Alma ,accident,5,Le Quotidien - Groupe Capitales Médias,Accident sur l'avenue du Pont Nord à Alma,2021-06-06,39,https://www.lequotidien.com/actualites/justice-et-faits-divers/accident-sur-lavenue-du-pont-nord-a-alma-7926d6ce3ffbdb5df03fef84f67d1597,2021-07-15 12:19:15,local
Alma ,accident,6,Le Quotidien - Groupe Capitales Médias,Grave accident entre un quadriporteur et une voiture à Alma,2020-10-31,257,https://www.lequotidien.com/actualites/grave-accident-entre-un-quadriporteur-et-une-voiture-a-alma-57d24ee6241e495a2ebc70c0e8b61c76,2021-07-15 12:19:15,local
Alma ,accident,7,Ouest-France éditions locales,Une rixe éclate à Rennes : trois blessés se réfugient au centre Alma,2021-06-19,26,https://www.ouest-france.fr/bretagne/rennes-35000/une-rixe-eclate-a-rennes-trois-blesses-se-refugient-au-centre-alma-a61744b0-d107-11eb-a914-e4a3b5e754ad,2021-07-15 12:19:16,local
Alma ,accident,8,ICI.Radio-Canada.ca,Une adolescente blessée gravement à Hébertville,2021-04-20,86,https://ici.radio-canada.ca/nouvelle/1786272/accident-herbertville-adolescente-blessee-grave,2021-07-15 12:19:16,local
Alma ,accident,9,Le Quotidien - Groupe Capitales Médias,Accident impliquant un autobus à Alma | Justice et faits divers | Actualités,2020-09-18,300,https://www.lequotidien.com/actualites/justice-et-faits-divers/accident-impliquant-un-autobus-a-alma-e2d47badb77961f6a5f779e46d79b186,2021-07-15 12:19:16,local
Alma ,accident,10,Journal Le Lac St-Jean,Accident grave de motoneige à l'Ascension,2021-02-13,152,https://lelacstjean.com/actualite/accident-grave-de-motoneige-a-lascension/,2021-07-15 12:19:17,local
Alma ,accident,11,Journal des Femmes,"Visage et Derniers Mots de Lady Di, par un pompier français",2021-06-24,21,https://www.journaldesfemmes.fr/people/actus/2725443-lady-diana-mort-paris-pompier-medecin-accident/,2021-07-15 12:19:17,local
Alma ,accident,12,Le Quotidien - Groupe Capitales Médias,Collision sur la route 170 : le motocycliste dans un état critique,2021-06-14,31,https://www.lequotidien.com/actualites/collision-sur-la-route-170--le-motocycliste-dans-un-etat-critique-0d3eb930556da0e805587d2e333f6676,2021-07-15 12:19:17,local
Alma ,accident,13,Le Quotidien - Groupe Capitales Médias,Un corps d'homme inanimé en pleine rue à Alma,2021-04-17,89,https://www.lequotidien.com/actualites/justice-et-faits-divers/un-corps-dhomme-inanime-en-pleine-rue-a-alma-f10a89838015e2692357ef8f5a1b9898,2021-07-15 12:19:18,local
Alma ,accident,14,Télé Loisirs.fr,"""Son visage était intact"" : le médecin urgentiste qui a porté les premiers soins à Diana après son terrible accident témoigne",2021-06-23,22,https://www.programme-tv.net/news/societe/278632-son-visage-etait-intact-le-medecin-urgentiste-qui-a-porte-les-premiers-soins-a-diana-apres-son-terrible-accident-temoigne/,2021-07-15 12:19:18,local
Alma ,accident,15,Le Quotidien - Groupe Capitales Médias,Une sortie de route cause des pannes électriques à Alma [PHOTOS],2020-10-04,284,https://www.lequotidien.com/actualites/justice-et-faits-divers/une-sortie-de-route-cause-des-pannes-electriques-a-alma-photos-6a87504d3f7abfe011a893263e70ca98,2021-07-15 12:19:18,local
Alma ,accident,16,Le Quotidien - Groupe Capitales Médias,Collision avec un orignal sur l'avenue du Pont à Alma,2020-08-28,321,https://www.lequotidien.com/actualites/justice-et-faits-divers/collision-avec-un-orignal-sur-lavenue-du-pont-a-alma-7cbe66f28d66e31879b61c3ef7b20afb,2021-07-15 12:19:18,local
Alma ,accident,17,Femme Actuelle.fr,"Accident de voiture de Diana : sa dernière journée avant sa mort, heure par heure",2021-06-29,16,https://www.femmeactuelle.fr/actu/news-actu/accident-de-lady-diana-retour-heure-par-heure-sur-la-derniere-journee-avant-sa-mort-2115558,2021-07-15 12:19:19,local
Alma ,accident,18,Le Quotidien - Groupe Capitales Médias,Deux accidents entre Saint-Gédéon et Alma samedi matin,2021-06-05,40,https://www.lequotidien.com/actualites/justice-et-faits-divers/deux-accidents-entre-saint-gedeon-et-alma-samedi-matin-5ee90b0f73dad22c86a984313a110af1,2021-07-15 12:19:19,local
Alma ,accident,19,Pure People,Mort de Lady Di : le prêtre qui a veillé sur elle après l'accident sort du silence,2021-07-05,10,https://www.purepeople.com/article/mort-de-lady-di-le-pretre-qui-a-veille-sur-elle-apres-l-accident-sort-du-silence_a443557/1,2021-07-15 12:19:20,local
Alma ,accident,20,ICI.Radio-Canada.ca,La neige à l'origine de plusieurs accidents à Saguenay,2021-04-22,84,https://ici.radio-canada.ca/nouvelle/1786944/accidents-route-chaussee-conditions-routieres,2021-07-15 12:19:20,local
Alma ,accident,21,Sud Ouest,"Toros. Orthez : El Adoureño encorné, concours mouvementé",2021-07-14,1,https://www.sudouest.fr/culture/toros/toros-orthez-el-adoureno-encorne-concours-mouvemente-4155661.php,2021-07-15 12:19:20,local
Alma ,accident,22,Journal Le Lac St-Jean,Accident impliquant 3 véhicules à Alma,2021-01-27,169,https://lelacstjean.com/actualite/accident-impliquant-3-vehicules-a-alma/,2021-07-15 12:19:20,local
Alma ,accident,23,Voici,Lady Diana : pourquoi elle aurait adoré Kate Middleton ET Meghan Markle selon Sarah Ferguson,2021-07-15,0,https://www.voici.fr/news-people/actu-people/lady-diana-pourquoi-elle-aurait-adore-kate-middleton-et-meghan-markle-selon-sarah-ferguson-708221,2021-07-15 12:19:21,local
Alma ,accident,24,Journal Le Lac St-Jean,Accident à Saint-Gédéon,2021-05-07,69,https://lelacstjean.com/actualite/accident-a-saint-gedeon/,2021-07-15 12:19:21,local
Alma ,accident,25,Le Quotidien - Groupe Capitales Médias,Accident mortel à Saint-Prime: l'identité de la victime dévoilée,2021-04-08,98,https://www.lequotidien.com/actualites/justice-et-faits-divers/accident-mortel-a-saint-prime-lidentite-de-la-victime-devoilee-c5badaec64b9f50ab8ac19244b47fdeb,2021-07-15 12:19:21,local
Alma ,décès OR mort,1,NecrologieCanada,BELLEY Dollard 1929 2021,2021-07-11,4,https://necrocanada.com/deces-2021/belley-dollard-1929-2021/,2021-07-15 12:20:01,local
Alma ,décès OR mort,2,NecrologieCanada,NOeL Melanie 1976 2020,2021-07-13,2,https://necrocanada.com/deces-2021/noel-melanie-1976-2020/,2021-07-15 12:20:01,local
Alma ,décès OR mort,3,Les Échos,Les 13 livres à lire cet été,2021-07-15,0,https://www.lesechos.fr/weekend/livres-expositions/les-13-livres-a-lire-cet-ete-1332381,2021-07-15 12:20:02,local
Alma ,décès OR mort,4,lalibre.be,"Intempéries en Belgique: plusieurs quartiers doivent évacuer à Liège où la Meuse déborde, la phase nationale...",2021-07-15,0,https://www.lalibre.be/belgique/societe/2021/07/15/intemperies-en-belgique-un-jeune-homme-decede-a-eupen-larmee-et-la-protection-civile-toujours-sur-le-qui-vive-direct-TXGO3JHZWRGD3DOBZ2IUNNH7VM/,2021-07-15 12:20:02,local
Alma ,décès OR mort,5,Fabula,Thanatographies : (re)penser la mort en littérature,2021-07-14,1,https://www.fabula.org/actualites/thanatographies-repenser-la-mort-en-litterature_103025.php,2021-07-15 12:20:02,local
Alma ,décès OR mort,6,Journal Le Lac St-Jean,Découverte d'un corps inanimé à Alma,2021-04-17,89,https://lelacstjean.com/faitsdivers/decouverte-dun-corps-inanime-a-alma/,2021-07-15 12:20:03,local
Alma ,décès OR mort,7,Ludwig van Montréal,GUIDE | Musique classique: les concerts à ne pas manquer pour l’été 2021 au Québec,2021-07-13,2,https://www.ludwig-van.com/montreal/2021/07/13/guide-musique-classique-concerts-a-ne-manquer-lete-2021-quebec/,2021-07-15 12:20:03,local
Alma ,décès OR mort,8,Pure People,Mort de Lady Diana : Charles a-t-il planifié son accident ? Scotland Yard a longuement enquêté...,2021-06-19,26,https://www.purepeople.com/article/mort-de-lady-diana-charles-a-t-il-planifie-son-accident-scotland-yard-a-longuement-enquete_a441169/1,2021-07-15 12:20:03,local
Alma ,décès OR mort,9,La Nouvelle Tribune,USA : décès de l’actrice Lisa Banes de « Gone Girl » après un accident,2021-06-15,30,https://lanouvelletribune.info/2021/06/lisa-banes-lactrice-de-gone-girl-meurt-apres-un-accident/,2021-07-15 12:20:04,local
Alma ,décès OR mort,10,Le Quotidien - Groupe Capitales Médias,COVID-19: 197 nouveaux cas et trois décès au Saguenay-Lac-Saint-Jean,2020-11-12,245,https://www.lequotidien.com/actualites/covid-19-197-nouveaux-cas-et-trois-deces-au-saguenay-lac-saint-jean-2bc74149def48fd35b32e30b2628413f,2021-07-15 12:20:04,local
Alma ,décès OR mort,11,Le Quotidien - Groupe Capitales Médias,Un Almatois bien connu décède des suites de la COVID-19,2020-11-20,237,https://www.lequotidien.com/actualites/un-almatois-bien-connu-decede-des-suites-de-la-covid-19-84c65aba161531ace1f34d3a4133baa8,2021-07-15 12:20:04,local
Alma ,décès OR mort,12,Le Figaro,"Hommage à Axel Kahn: «Admirable, rare et précieuse leçon de vie tout autant que de mort !»",2021-07-06,9,https://www.lefigaro.fr/vox/societe/hommage-a-axel-kahn-admirable-rare-et-precieuse-lecon-de-vie-tout-autant-que-de-mort-20210706,2021-07-15 12:20:05,local
Alma ,décès OR mort,13,Le Quotidien - Groupe Capitales Médias,63 nouveaux cas de COVID-19 et trois décès au Saguenay-Lac-Saint-Jean,2020-10-30,258,https://www.lequotidien.com/actualites/covid-19/63-nouveaux-cas-de-covid-19-et-trois-deces-au-saguenay-lac-saint-jean-8d75d5ead41bfb3825fc9b62f828278c,2021-07-15 12:20:05,local
Alma ,décès OR mort,14,ICI.Radio-Canada.ca,Décès de l'ex-journaliste Rosaire Pelletier,2021-05-11,65,https://ici.radio-canada.ca/nouvelle/1792282/alma-correspondant-parlementaire-rosaire-pelletier,2021-07-15 12:20:05,local
Alma ,décès OR mort,15,Le Quotidien - Groupe Capitales Médias,COVID-19: 117 nouveaux cas et trois décès au Saguenay-Lac-Saint-Jean,2020-12-02,225,https://www.lequotidien.com/actualites/covid-19-117-nouveaux-cas-et-trois-deces-au-saguenay-lac-saint-jean-1376d28702255ceb8be6b4ac61877299,2021-07-15 12:20:05,local
Alma ,décès OR mort,16,La Presse,"COVID-19 | Le bilan des morts s'alourdit, les CHSLD sont suivis de près",2020-11-04,253,https://www.lapresse.ca/covid-19/2020-11-04/covid-19/le-bilan-des-morts-s-alourdit-les-chsld-sont-suivis-de-pres.php,2021-07-15 12:20:06,local
Alma ,décès OR mort,17,Le Quotidien - Groupe Capitales Médias,Sortie de route sur la 169 à Alma | Justice et faits divers | Actualités,2021-05-24,52,https://www.lequotidien.com/actualites/justice-et-faits-divers/sortie-de-route-sur-la-169-a-alma-aed1cf2d645bd679b3264e74d266a3b8,2021-07-15 12:20:06,local
Alma ,décès OR mort,18,ICI.Radio-Canada.ca,Plus de décès dans les RPA que dans les CHSLD lors de la 2 e vague | Coronavirus,2020-12-08,219,https://ici.radio-canada.ca/nouvelle/1755245/covid-19-morts-bilans-residences-aines-coronavirus,2021-07-15 12:20:06,local
Alma ,décès OR mort,19,ICI.Radio-Canada.ca,Maxime Patry subit son enquête préliminaire pour la mort de Thomas Audet,2021-05-04,72,https://ici.radio-canada.ca/nouvelle/1790293/justice-thomas-audet-deces-enquete,2021-07-15 12:20:06,local
Alma ,décès OR mort,20,ICI.Radio-Canada.ca,Un an de COVID-19 au Saguenay-Lac-Saint-Jean : 200 morts en 75 jours | Coronavirus,2021-03-11,126,https://ici.radio-canada.ca/nouvelle/1776416/pandemie-region-cas-deces-coronavirus,2021-07-15 12:20:06,local
Alma ,décès OR mort,21,NecrologieCanada,HARVEY Roch 1937 2021,2021-05-15,61,https://necrocanada.com/deces-2021/harvey-roch-1937-2021/,2021-07-15 12:20:07,local
Alma ,décès OR mort,22,Le Devoir,La COVID-19 emporte 7 des 35 résidents d'un CHSLD d'Alma,2020-10-22,266,https://www.ledevoir.com/societe/588259/la-covid-19-emporte-7-des-35-residents-d-un-chsld-d-alma,2021-07-15 12:20:07,local
Alma ,décès OR mort,23,TVA Nouvelles,«Je suis contente de l'avoir fait pour elle. C'est ce qu'elle voulait»,2021-03-10,127,https://www.tvanouvelles.ca/2021/03/10/je-suis-contente-de-lavoir-fait-pour-elle-cest-ce-quelle-voulait,2021-07-15 12:20:07,local
Alma ,décès OR mort,24,Le Quotidien - Groupe Capitales Médias,Deux nouveaux cas et un décès au Saguenay-Lac-Saint-Jean,2021-06-12,33,https://www.lequotidien.com/actualites/deux-nouveaux-cas-et-un-deces-au-saguenay-lac-saint-jean-e07933a6c115f2475706436a5a25ad12,2021-07-15 12:20:07,local
Alma ,décès OR mort,25,Le Quotidien - Groupe Capitales Médias,"À 106 ans, une dame originaire d'Alma a vaincu la COVID-19",2020-12-24,203,https://www.lequotidien.com/actualites/a-106-ans-une-dame-originaire-dalma-a-vaincu-la-covid-19-2538a9a4748730d1a015077c7d6aac52,2021-07-15 12:20:08,local
Alma ,incendie,1,Le Quotidien - Groupe Capitales Médias,Incendie au palais de justice: ouverture d'un comptoir de services à Roberval,2021-06-16,29,https://www.lequotidien.com/actualites/incendie-au-palais-de-justice-ouverture-dun-comptoir-de-services-a-roberval-f85cd236b6ec7f5335b52cccc3ac6202,2021-07-15 12:20:17,local
Alma ,incendie,2,Le Quotidien - Groupe Capitales Médias,Début d'incendie maîtrisé à Alma | Actualités,2021-03-24,113,https://www.lequotidien.com/actualites/debut-dincendie-maitrise-a-alma-c89260fbb6cd4e484160a94b82f07f4d,2021-07-15 12:20:18,local
Alma ,incendie,3,Le Quotidien - Groupe Capitales Médias,Incendie d'une résidence à Alma | Justice et faits divers | Actualités,2021-01-27,169,https://www.lequotidien.com/actualites/justice-et-faits-divers/incendie-dune-residence-a-alma-47e1b00d928568b1eb0f2349eb868cc1,2021-07-15 12:20:18,local
Alma ,incendie,4,Le Quotidien - Groupe Capitales Médias,Incendie à Alma | Justice et faits divers | Actualités,2021-03-19,118,https://www.lequotidien.com/actualites/justice-et-faits-divers/incendie-a-alma-4661a9a4ac2f9484342fa2a7e39b40fd,2021-07-15 12:20:18,local
Alma ,incendie,5,Le Quotidien - Groupe Capitales Médias,Incendie suspect de véhicule à Alma | Justice et faits divers | Actualités,2021-03-04,133,https://www.lequotidien.com/actualites/justice-et-faits-divers/incendie-suspect-de-vehicule-a-alma-ae7ae5d9187fd6e6f1ec0164d7bbdcab,2021-07-15 12:20:18,local
Alma ,incendie,6,Le Journal de Québec,Alma: un incendie évité de justesse grâce à des voisins et à un policier,2020-12-21,206,https://www.journaldequebec.com/2020/12/21/alma-un-incendie-evite-de-justesse-grace-a-des-voisins-et-un-policier,2021-07-15 12:20:19,local
Alma ,incendie,7,ICI.Radio-Canada.ca,Incendie au site d'enfouissement d'Hébertville-Station,2021-04-17,89,https://ici.radio-canada.ca/nouvelle/1785364/site-enfouissement-feu-flammes-pompiers-dechets,2021-07-15 12:20:19,local
Alma ,incendie,8,Le Quotidien - Groupe Capitales Médias,Un feu de forêt et un sauvetage à Alma,,,https://www.lequotidien.com/actualites/justice-et-faits-divers/un-feu-de-foret-et-un-sauvetage-a-alma-d754e0083d65db449499f3f09eb9b031,2021-07-15 12:20:20,local
Alma ,incendie,9,Le Quotidien - Groupe Capitales Médias,Feux à Chute-des-Passes: la SOPFEU demande d'éviter le secteur,2021-06-11,34,https://www.lequotidien.com/actualites/feux-a-chute-des-passes-la-sopfeu-demande-deviter-le-secteur-ad837de6d42d57dc648f707491680f9e,2021-07-15 12:20:20,local
Alma ,incendie,10,Le Quotidien - Groupe Capitales Médias,Incendie à la Plaza d'Alma | Justice et faits divers | Actualités,2020-10-13,275,https://www.lequotidien.com/actualites/justice-et-faits-divers/incendie-a-la-plaza-dalma-0e25b247194b417fbc50270adc244457,2021-07-15 12:20:20,local
Alma ,incendie,11,ICI.Radio-Canada.ca,Feu au palais de justice de Roberval : des défis pour l'organisation des services,2021-05-10,66,https://ici.radio-canada.ca/nouvelle/1791734/causes-deplacees-palais-justice-roberval,2021-07-15 12:20:20,local
Alma ,incendie,12,Le Quotidien - Groupe Capitales Médias,Un incendie dans les installations de l'écocentre d'Alma,2020-12-12,215,https://www.lequotidien.com/actualites/un-incendie-dans-les-installations-de-lecocentre-dalma-1e2e9f45a8099fcc2cbdef4cdf70a8eb,2021-07-15 12:20:21,local
Alma ,incendie,13,Le Quotidien - Groupe Capitales Médias,Un incendie dans une résidence d'Alma | Justice et faits divers | Actualités,2020-08-06,343,https://www.lequotidien.com/actualites/justice-et-faits-divers/un-incendie-dans-une-residence-dalma-f387829542aa69e055dda3d45eda3073,2021-07-15 12:20:21,local
Alma ,incendie,14,Le Quotidien - Groupe Capitales Médias,Incendie sur la rue Monseigneur-Bégin à Jonquière,2021-06-12,33,https://www.lequotidien.com/actualites/justice-et-faits-divers/incendie-sur-la-rue-monseigneur-begin-a-jonquiere-9c31b5d4a74f566ea7008981dfb4c2df,2021-07-15 12:20:21,local
Alma ,incendie,15,ICI.Radio-Canada.ca,Des restrictions entrent en vigueur pour limiter les risques de feux de forêt,2021-06-09,36,https://ici.radio-canada.ca/nouvelle/1800059/feux-ciel-ouvert-foret-sopfeu-travailleurs,2021-07-15 12:20:21,local
Alma ,incendie,16,ICI.Radio-Canada.ca,Feu à Alma : le conseiller municipal Jocelyn Fradette aide un père à sauver sa famille,,,https://ici.radio-canada.ca/nouvelle/1705630/feu-alma-conseiller-jocelyn-fradette-famille-maison,2021-07-15 12:20:22,local
Alma ,incendie,17,Le Quotidien - Groupe Capitales Médias,Incendie sur une ferme à Alma | Justice et faits divers | Actualités,2020-08-04,345,https://www.lequotidien.com/actualites/justice-et-faits-divers/incendie-sur-une-ferme-a-alma-f1091bfe61df2921e8a35e08cbecc55c,2021-07-15 12:20:22,local
Alma ,incendie,18,Journal Le Lac St-Jean,Découverte d'un corps inanimé à Alma,2021-04-17,89,https://lelacstjean.com/faitsdivers/decouverte-dun-corps-inanime-a-alma/,2021-07-15 12:20:22,local
Alma ,incendie,19,Le Quotidien - Groupe Capitales Médias,Chute-des-Passes : l'un des feux hors de contrôle,2021-06-13,32,https://www.lequotidien.com/actualites/chute-des-passes--lun-des-feux-hors-de-controle-6e4ce06642fabeab78a3987332d58b37,2021-07-15 12:20:22,local
Alma ,incendie,20,ICI.Radio-Canada.ca,Violent incendie au centre-ville d'Alma,,,https://ici.radio-canada.ca/nouvelle/1107886/feu-flammes-alma-materiaux-pompiers,2021-07-15 12:20:22,local
Alma ,incendie,21,La Presse,Important incendie de forêt au Lac-Saint-Jean,,,https://www.lapresse.ca/actualites/regional/2020-06-17/important-incendie-de-foret-au-lac-saint-jean,2021-07-15 12:20:23,local
Alma ,incendie,22,ICI.Radio-Canada.ca,Feu d'un garage à Alma : les curieux ont nui au travail des pompiers,,,https://ici.radio-canada.ca/nouvelle/1162847/maison-garage-rase-feu-incendie-alma,2021-07-15 12:20:23,local
