Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie,type mot-clés
Saint-Jean-sur-Richelieu,élection OR campagne,1,Le Canada Français,Les militants du Bloc rassemblés dans le Vieux-Saint-Jean,2021-09-20,10,https://www.canadafrancais.com/2021/09/20/les-militants-du-bloc-rassembles-dans-le-vieux-saint-jean/,2021-09-30 09:33:26,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,2,Le Canada Français,Le vote du 20 septembre a lieu de 9h30 à 21 h30,2021-09-17,13,https://www.canadafrancais.com/2021/09/17/le-vote-du-20-septembre-a-lieu-de-9h30-a-21-h30/,2021-09-30 09:33:27,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,3,Le Journal de Québec,Des élus qui en ont ras le bol d'être menacés et intimidés,2021-09-26,4,https://www.journaldequebec.com/2021/09/26/des-elus-qui-en-ont-ras-le-bol-detre-menaces-et-intimides,2021-09-30 09:33:27,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,4,Le Canada Français,"Des frais d'avocats de 1,2 M$ assumés par la Ville",2021-08-26,35,https://www.canadafrancais.com/2021/08/26/des-frais-davocats-de-12-m-assumes-par-la-ville/,2021-09-30 09:33:27,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,5,Le Journal de Québec,[SONDAGE] Élections fédérales: des luttes à trois se dessinent au Québec,2021-09-02,28,https://www.journaldequebec.com/2021/09/02/les-courses-se-corsent-au-quebec,2021-09-30 09:33:27,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,6,TVA Nouvelles,Décès d'une mère et ses enfants: sombre journée à l'urgence de l'hôpital de Saint-Jean-sur-Richelieu,2021-09-20,10,https://www.tvanouvelles.ca/2021/09/20/deces-dune-mere-et-ses-enfants-sombre-journee-a-lurgence-de-lhopital-de-saint-jean-sur-richelieu,2021-09-30 09:33:27,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,7,Info Dimanche,Élections Canada 2021: Bernard Généreux et Maxime Blanchette-Joncas réélus | infodimanche.com,2021-09-20,10,https://www.infodimanche.com/actualites/elections-federales-2021/437702/elections-canada-2021-bernard-genereux-et-maxime-blanchette-joncas-reelus,2021-09-30 09:33:27,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,8,L'Avenir et des Rivières - Farnham,Farnham: Claude McKenzie briguera les suffrages dans le quartier 1,2021-09-21,9,https://www.laveniretdesrivieres.com/2021/09/21/farnham-claude-mckenzie-briguera-les-suffrages-dans-le-quartier-1/,2021-09-30 09:33:28,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,9,iHeartRadio,Alain Laplante souhaite un second mandat fort à Saint-Jean,2021-09-13,17,https://www.iheartradio.ca/boom/boom-1041/nouvelles/alain-laplante-souhaite-un-second-mandat-fort-a-saint-jean-1.16068047,2021-09-30 09:33:28,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,10,Les 2 Rives,Qui sont vos candidats à l'élection fédérale du 20 septembre?,2021-09-02,28,https://www.les2rives.com/qui-sont-vos-candidats-a-lelection-federale-du-20-septembre/,2021-09-30 09:33:28,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,11,Coup d'Oeil,Les candidats sont maintenant connus - Coup d'œil,2021-09-12,18,https://www.coupdoeil.info/2021/09/12/les-candidats-sont-maintenant-connus/,2021-09-30 09:33:28,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,12,L'Oeil Régional,Le journal de la Vallée du Richelieu,2021-09-16,14,https://www.oeilregional.com/le-vote-par-correspondance-limite-a-beloeil/,2021-09-30 09:33:29,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,13,"98,5 fm","Jour de vote au Québec et au Canada | «Beaucoup d'enjeux à surveiller», décrit Paul Arcand",2021-09-20,10,https://www.985fm.ca/nouvelles/opinions/425266/jour-de-vote,2021-09-30 09:33:29,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,14,iHeartRadio,Saint-Jean: la mise en vente de la Maison Boucher inquiète,2021-09-16,14,https://www.iheartradio.ca/boom/boom-1041/nouvelles/saint-jean-la-mise-en-vente-de-la-maison-boucher-inquiete-1.16087171,2021-09-30 09:33:29,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,15,iHeartRadio,Élections fédérales: Serge Benoit candidat conservateur,2021-08-31,30,https://www.iheartradio.ca/boom/boom-1041/nouvelles/elections-federales-serge-benoit-candidat-conservateur-1.15969797,2021-09-30 09:33:29,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,16,Le Canada Français,La distraction au volant dans la mire des policiers,2021-09-13,17,https://www.canadafrancais.com/2021/09/13/la-distraction-au-volant-dans-la-mire-des-policiers/,2021-09-30 09:33:29,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,17,Coup d'Oeil,Christine Normandin rencontre les électeurs dans les parcs - Coup d'œil,2021-09-07,23,https://www.coupdoeil.info/2021/09/07/christine-normandin-rencontre-les-electeurs-dans-les-parcs/,2021-09-30 09:33:30,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,18,ICI.Radio-Canada.ca,Fondation Christian Vachon : 190 équipes inscrites au relais du lac Memphrémagog,2021-09-15,15,https://ici.radio-canada.ca/nouvelle/1824278/course-perseverance-scolaire-christian-vachon,2021-09-30 09:33:30,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,19,Le Devoir,«Le Devoir» en Colombie-Britannique: les orphelins de Jody Wilson-Raybould,2021-09-10,20,https://www.ledevoir.com/politique/canada/631272/en-colombie-britannique-les-orphelins-de-jody-wilson-raybould,2021-09-30 09:33:30,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,20,Courrier Frontenac,Élections fédérales : où et quand voter avant le 20 septembre?,2021-09-08,22,https://www.courrierfrontenac.qc.ca/2021/09/08/elections-federales-ou-et-quand-voter-avant-le-20-septembre/,2021-09-30 09:33:30,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,21,La Presse,"Le 11-Septembre, 20 ans plus tard | L'onde de choc",2021-09-06,24,https://www.lapresse.ca/international/etats-unis/2021-09-06/le-11-septembre-20-ans-plus-tard/l-onde-de-choc.php,2021-09-30 09:33:30,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,22,iHeartRadio,Élections fédérales: Jean Rioux de nouveau candidat dans Saint-Jean,2021-08-25,36,https://www.iheartradio.ca/boom/boom-1041/nouvelles/elections-federales-jean-rioux-de-nouveau-candidat-dans-saint-jean-1.15932659,2021-09-30 09:33:31,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,23,Le Canada Français,Andrée Bouchard en forte avance sur Alain Laplante,2021-06-17,105,https://www.canadafrancais.com/2021/06/17/andree-bouchard-en-forte-avance-sur-alain-laplante/,2021-09-30 09:33:31,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,24,iHeartRadio,Sondage: Andrée Bouchard aurait une option sur la mairie de Saint-Jean-sur-Richelieu,2020-12-03,301,https://www.iheartradio.ca/boom/boom-1041/nouvelles/sondage-andree-bouchard-aurait-une-option-sur-la-mairie-de-saint-jean-sur-richelieu-1.14080227,2021-09-30 09:33:31,mixte
Saint-Jean-sur-Richelieu,élection OR campagne,25,iHeartRadio,Andrée Bouchard candidate à la mairie de Saint-Jean en novembre 2021,2020-11-11,323,https://www.iheartradio.ca/boom/boom-1041/nouvelles/andree-bouchard-candidate-a-la-mairie-de-saint-jean-en-novembre-2021-1.13934577,2021-09-30 09:33:31,mixte
Saint-Jean-sur-Richelieu,député,1,Le Canada Français,Christine Normandin déclarée élue à 22h55,2021-09-20,10,https://www.canadafrancais.com/2021/09/20/christine-normandin-declaree-elue-a-22h55/,2021-09-30 09:34:10,mixte
Saint-Jean-sur-Richelieu,député,2,iHeartRadio,Le Bloc Québécois maintient une majorité de sièges en Montérégie,2021-09-20,10,https://www.iheartradio.ca/boom/boom-1041/nouvelles/le-bloc-quebecois-maintient-une-majorite-de-sieges-en-monteregie-1.16117245,2021-09-30 09:34:10,mixte
Saint-Jean-sur-Richelieu,député,3,iHeartRadio,Élections fédérales: Serge Benoit candidat conservateur,2021-08-31,30,https://www.iheartradio.ca/boom/boom-1041/nouvelles/elections-federales-serge-benoit-candidat-conservateur-1.15969797,2021-09-30 09:34:10,mixte
Saint-Jean-sur-Richelieu,député,4,Le Journal de Montréal,"PROULX, Jérôme",2021-09-04,26,https://www.journaldemontreal.com/2021/09/04/96ee2ca93a/proulx-jerome,2021-09-30 09:34:11,mixte
Saint-Jean-sur-Richelieu,député,5,Coup d'Oeil,Les candidats sont maintenant connus - Coup d'œil,2021-09-12,18,https://www.coupdoeil.info/2021/09/12/les-candidats-sont-maintenant-connus/,2021-09-30 09:34:11,mixte
Saint-Jean-sur-Richelieu,député,6,Chambly Matin,"50 000 $ pour l'embellissement de la cour d'école Pointe-Olivier à Saint-Mathias-sur-Richelieu - Chambly Matin - Journal le Chambly Matin, Montérégie Quotidien",2021-09-14,16,https://www.chamblymatin.com/avis/nouvelles/politique/elections-provinciales-2014/education/depute-de-chambly-jean-francois-roberge-investissement-ecole-pointe-olivier-saint-mathias-sur-richelieu-embellissement-des-cours-d-ecoles.html,2021-09-30 09:34:11,mixte
Saint-Jean-sur-Richelieu,député,7,Le Journal de Chambly,Beloeil-Chambly : portrait de la circonscription - Le journal de Chambly,2021-09-01,29,https://www.journaldechambly.com/beloeil-chambly-portrait-de-la-circonscription/,2021-09-30 09:34:11,mixte
Saint-Jean-sur-Richelieu,député,8,Les 2 Rives,Qui sont vos candidats à l'élection fédérale du 20 septembre?,2021-09-02,28,https://www.les2rives.com/qui-sont-vos-candidats-a-lelection-federale-du-20-septembre/,2021-09-30 09:34:11,mixte
Saint-Jean-sur-Richelieu,député,9,Le Journal de Chambly,Shefford : portrait de la circonscription - Le journal de Chambly,2021-09-01,29,https://www.journaldechambly.com/shefford-portrait-de-la-circonscription/,2021-09-30 09:34:12,mixte
Saint-Jean-sur-Richelieu,député,10,iHeartRadio,Élections fédérales: Jean Rioux de nouveau candidat dans Saint-Jean,2021-08-25,36,https://www.iheartradio.ca/boom/boom-1041/nouvelles/elections-federales-jean-rioux-de-nouveau-candidat-dans-saint-jean-1.15932659,2021-09-30 09:34:12,mixte
Saint-Jean-sur-Richelieu,député,11,Le Canada Français,Décès de l'ancien député Jérôme Proulx,2021-08-27,34,https://www.canadafrancais.com/2021/08/27/deces-de-lancien-depute-jerome-proulx/,2021-09-30 09:34:12,mixte
Saint-Jean-sur-Richelieu,député,12,Coup d'Oeil,Une médaille de l'Assemblée nationale aux bénévoles - Coup d'œil,2021-08-16,45,https://www.coupdoeil.info/2021/08/16/une-medaille-de-lassemblee-nationale-aux-benevoles/,2021-09-30 09:34:12,mixte
Saint-Jean-sur-Richelieu,député,13,Le Journal de Montréal,Les électeurs de Claire Samson sont en colère,2021-06-18,104,https://www.journaldemontreal.com/2021/06/18/les-electeurs-de-samson-sont-en-colere,2021-09-30 09:34:13,mixte
Saint-Jean-sur-Richelieu,député,14,L'Hebdo Journal,"""La place du député de Trois-Rivières à Ottawa, c'est au sein du gouvernement""",2021-08-09,52,https://www.lhebdojournal.com/la-place-du-depute-de-trois-rivieres-a-ottawa-cest-au-sein-du-gouvernement/,2021-09-30 09:34:13,mixte
Saint-Jean-sur-Richelieu,député,15,iHeartRadio,Sondage: Andrée Bouchard aurait une option sur la mairie de Saint-Jean-sur-Richelieu,2020-12-03,301,https://www.iheartradio.ca/boom/boom-1041/nouvelles/sondage-andree-bouchard-aurait-une-option-sur-la-mairie-de-saint-jean-sur-richelieu-1.14080227,2021-09-30 09:34:13,mixte
Saint-Jean-sur-Richelieu,député,16,LeLézard.com,Fin des travaux de reconstruction du pont Gouin,2021-06-21,101,https://www.lelezard.com/communique-19866826.html,2021-09-30 09:34:13,mixte
Saint-Jean-sur-Richelieu,député,17,Coup d'Oeil,Christine Normandin parle des gains importants du Bloc - Coup d'œil,2021-08-03,58,https://www.coupdoeil.info/2021/08/03/christine-normandin-parle-des-gains-importants-du-bloc/,2021-09-30 09:34:13,mixte
Saint-Jean-sur-Richelieu,député,18,Le Canada Français,Québec annonce l'élargissement de la route 104,2021-08-20,41,https://www.canadafrancais.com/2021/08/20/quebec-annonce-lelargissement-de-la-route-104/,2021-09-30 09:34:14,mixte
Saint-Jean-sur-Richelieu,député,19,Le Canada Français,Pas de REM à l'intersection des autoroutes 10 et 35,2021-02-11,231,https://www.canadafrancais.com/2021/02/11/pas-de-rem-a-lintersection-des-autoroutes-10-et-35/,2021-09-30 09:34:14,mixte
Saint-Jean-sur-Richelieu,député,20,iHeartRadio,Inauguration officielle du pont Gouin,2021-06-21,101,https://www.iheartradio.ca/boom/boom-1041/nouvelles/inauguration-officielle-du-pont-gouin-1.15471467,2021-09-30 09:34:14,mixte
Saint-Jean-sur-Richelieu,député,21,Le Canada Français,Saint-Jean votait Oui au référendum de 1995,2020-10-30,335,https://www.canadafrancais.com/2020/10/30/saint-jean-votait-oui-au-referendum-de-1995/,2021-09-30 09:34:14,mixte
Saint-Jean-sur-Richelieu,député,22,Coup d'Oeil,Claire IsaBelle ouvre un bureau de circonscription à Napierville - Coup d'œil,2021-07-18,74,https://www.coupdoeil.info/2021/07/18/claire-isabelle-ouvre-un-bureau-de-circonscription-a-napierville/,2021-09-30 09:34:14,mixte
Saint-Jean-sur-Richelieu,député,23,Courrier Frontenac,Adam Lukofsky entend être un député présent et actif,2021-08-23,38,https://www.courrierfrontenac.qc.ca/2021/08/23/adam-lukofsky-entend-etre-depute-present-et-actif/,2021-09-30 09:34:15,mixte
Saint-Jean-sur-Richelieu,député,24,ICI.Radio-Canada.ca,Nouveau bras de fer à l'Assemblée nationale concernant le 3e lien | 3e lien,2021-06-01,121,https://ici.radio-canada.ca/nouvelle/1797724/anglade-caire-caq-plq-contradictions-3e-lien-quebec-levis,2021-09-30 09:34:15,mixte
Saint-Jean-sur-Richelieu,député,25,La Voix du Sud,Succession de Steven Blaney: Richard Côté en réflexion,2021-07-29,63,https://www.lavoixdusud.com/2021/07/29/succession-de-steven-blaney-richard-cote-en-reflexion/,2021-09-30 09:34:15,mixte
Saint-Jean-sur-Richelieu,"""arme à feu""",1,Le Canada Français,"Aussitôt arrêté, il brise ses conditions",2021-09-15,15,https://www.canadafrancais.com/2021/09/15/aussitot-arrete-il-brise-ses-conditions/,2021-09-30 09:34:24,mixte
Saint-Jean-sur-Richelieu,"""arme à feu""",2,Le Journal de Québec,L'homme armé qui a menacé le ministre Dubé remis en liberté,2021-08-27,34,https://www.journaldequebec.com/2021/08/27/lhomme-arme-qui-a-menace-le-ministre-dube-remis-en-liberte,2021-09-30 09:34:24,mixte
