Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL
Acton Vale ,Accident,1,La Voix de l'est - Groupe Capitales Médias,Accident mortel à Acton Vale: pas d'accusations,,,https://www.lavoixdelest.ca/actualites/accident-mortel-a-acton-vale-pas-daccusations-3d565963066d1af614076fdaa3b53b59
Acton Vale ,Accident,2,La Voix de l'est - Groupe Capitales Médias,Un véhicule heurte volontairement un autre | Actualités,2021-03-25,68,https://www.lavoixdelest.ca/actualites/un-vehicule-heurte-volontairement-un-autre-1a2c66e8acf0e2276940127a587cccf1
Acton Vale ,Accident,3,VINGT 55 Média web,Un motoneigiste blessé récupéré dans un sentier par le Service incendie d'Acton Vale à Wickham,2021-01-26,126,https://vingt55.ca/un-motoneigiste-blesse-recupere-dans-un-sentier-par-le-service-incendie-dacton-vale-a-wickham/
Acton Vale ,Accident,4,M105 La vie d'ici,Collision mortelle à St-Liboire: décès d'une femme de 33 ans d'Acton Vale,2020-11-14,199,https://m105.ca/actualite/collision-mortelle-a-st-liboire-deces-dune-femme-de-33-ans-dacton-vale/
Acton Vale ,Cégep,1,La Voix de l'est - Groupe Capitales Médias,Le Cégep se penche sur l'enseignement à l'extérieur,2021-04-23,39,https://www.lavoixdelest.ca/actualites/le-cegep-se-penche-sur-lenseignement-a-lexterieur-1a215bff3190a150ff385843b843d8db
Acton Vale ,Cégep,2,M105 La vie d'ici,"Palmarès des cégeps: 85,5% en taux de diplomation au Cégep de Granby",2021-02-13,108,https://m105.ca/actualite/palmares-des-cegeps-855-en-taux-de-diplomation-au-cegep-de-granby/
Acton Vale ,Cégep,3,La Voix de l'est - Groupe Capitales Médias,Un incendie chez Newtech à Acton Vale | Actualités,2021-02-04,117,https://www.lavoixdelest.ca/actualites/un-incendie-chez-newtech-a-acton-vale-d8673918d09b853ccc95f3adca1413f3
Acton Vale ,Cégep,4,Le Soleil - Groupe Capitales Médias,12 établissements collégiaux lancent le Regroupement des cégeps des régions,2021-03-09,84,https://www.lesoleil.com/actualite/le-fil-groupe-capitales-medias/12-etablissements-collegiaux-lancent-le-regroupement-des-cegeps-des-regions-9b3812cbc5a6ebb0681f13ddd28d23c8
Acton Vale ,Police OR Sûreté,1,L’actualité,"Montérégie: disparition depuis vendredi de Geneviève Desrochers, 43 ans, d'Acton Vale",2021-05-12,20,https://lactualite.com/actualites/monteregie-disparition-depuis-vendredi-de-genevieve-desrochers-43-ans-dacton-vale/
Acton Vale ,Police OR Sûreté,2,VINGT 55 Média web,"La Sûreté du Québec demande l'aide du public pour retrouver Geneviève Desrochers, 43 ans, d'Acton Vale",2021-05-11,21,https://vingt55.ca/la-surete-du-quebec-demande-laide-du-public-pour-retrouver-genevieve-desrochers-43-ans-dacton-vale/
Acton Vale ,Police OR Sûreté,3,,,2021-05-11,21,https://m105.ca/actualite/une-femme-de-43-ans-dacton-vale-portee-disparue/
Acton Vale ,Police OR Sûreté,4,,,2021-05-11,21,https://www.lereflet.qc.ca/une-femme-disparue-pourrait-se-trouver-dans-la-region/
Acton Vale ,décès OR mort,1,NecrologieCanada,Andre Moreau 1945 2021,2021-05-31,1,https://necrocanada.com/deces-2021/andre-moreau-1945-2021/
